code,lat,lon,name,city,state,country,tz,type,runway_length,elev,NTGA
AMH,6.01327,37.5405,Ethiopia,Arba Mintch,Gamo Gofa,Ethiopia,Africa/Addis_Ababa,Airports,3999,4000,WRRA
AMI,-8.562,116.098,Selaparang,Mataram,Nusa Tenggara Barat,Indonesia,Asia/Makassar,Airports,5249,48,OJAI
AMM,31.7231,35.9936,Queen Alia International Airport,Amman,'Amman,Jordan,Asia/Amman,Airports,12008,2395,WAPP
AMQ,-3.7067,128.078,Pattimura Airport,Ambon,Maluku,Indonesia,Asia/Jakarta,Airports,6070,33,EHAM
AMS,52.3122,4.77511,Schiphol Airport,Schiphol Zuid,North Holland,Netherlands,Europe/Amsterdam,Airports,12467,-11,ULDD
AMV,69.7638,61.5586,Amderma Airport,Nar'yan-Mar,Nenetskiy Avtonomnyy Okrug,Russia,Europe/Moscow,Airports,,,
AMY,38.4819,-100.608,Ambatomainty,Ambatomainty,Fianarantsoa,Madagascar,Indian/Antananarivo,Airports,3010,1050,PANC
ANC,61.1767,-149.961,Anchorage International Airport,Anchorage,Alaska,United States,America/Anchorage,Airports,10897,144,LFRA
ANE,47.5603,-0.312222,Aéroport d'Angers-Marcé,Seiches-sur-le-Loir,Pays de la Loire,France,Europe/Paris,Airports,4052,184,SCFA
ANF,-23.44,-70.4419,Cerro Moreno International Airport,Antofagasta,Antofagasta,Chile,America/Santiago,Airports,8527,460,LFBU
ANG,45.7274,0.21835,Brie Champniers Airport,Champniers,Poitou-Charentes,France,Europe/Paris,Airports,2723,289,PANI
ANI,61.5742,-159.535,Aniak Airport,Bethel,Alaska,United States,America/Anchorage,Airports,6000,88,FMNH
ANM,-18.7772,46.8543,Madagascar,Antalaha,,Madagascar,Indian/Antananarivo,Airports,3914,20,EBAW
ANR,51.1896,4.45236,Deurne Airport,Antwerp,Antwerp,Belgium,Europe/Brussels,Airports,4839,39,TAPA
ANU,17.1375,-61.79,V C Bird International Airport,Carlisle,Saint George,Antigua and Barbuda,America/Antigua,Airports,9000,62,PANV
ANV,62.65,-160.217,Anvik Airport,Anvik,Alaska,United States,America/Nome,Airports,2880,325,ENAN
ANX,69.3088,16.1236,Andoya Airport,Andenes,Nordland Fylke,Norway,Europe/Oslo,Airports,8005,46,EDAC
AOC,50.9794,12.5111,Altenburg Nobitz,Altenburg,Thuringia,Germany,Europe/Berlin,Airports,2235,641,
AOE,39.7905,30.5172,Anadolu University Airport,Eskişehir,Eskişehir,Turkey,Europe/Istanbul,Airports,,,LIPY
AOI,43.6158,13.3634,Falconara Airport,Falconara Marittima,Marche,Italy,Europe/Rome,Airports,9810,50,RJSA
AOJ,40.7357,140.69,Aomori Airport,Aomori-shi,Aomori Prefecture,Japan,Asia/Tokyo,Airports,4590,662,LGKP
AOK,35.4239,27.1472,Karpathos Airport,Karpathos,Notio Aigaio,Greece,Europe/Athens,Airports,6890,23,KAOO
AOO,40.2952,-78.324,Altoona-Blair County Airport,Martinsburg,Pennsylvania,United States,America/New_York,Airports,5466,1504,WMKA
AOR,6.1947,100.404,Sultan Abdul Halim Airport,Kepala Batas,Kedah,Malaysia,Asia/Kuala_Lumpur,Airports,6600,15,
AOS,57.4672,-153.839,Amook Bay Seaplane Base,Amook,Alaska,United States,America/Anchorage,Airports,,,KAPA
APA,39.5752,-104.845,Centennial Airport,Englewood,Colorado,United States,America/Denver,Other Airport,10002,5883,KAPF
APF,26.1483,-81.7745,Naples Municipal Airport,Naples,Florida,United States,America/New_York,Airports,5000,9,NTGD
APK,-8.64687,-131.787,French Polynesia,Apataki,,French Polynesia,Pacific/Midway,Airports,2756,3,FQNP
APL,-15.1,39.2814,Nampula Airport,Nampula,Nampula,Mozambique,Africa/Maputo,Airports,6562,1457,KAPN
APN,45.07,-83.5683,Alpena County Regional Airport,Alpena,Michigan,United States,America/New_York,Airports,9001,689,
APO,7.88361,-76.6321,Apartado Airport,Apartadó,Antioquia,Colombia,America/Bogota,Airports,,,NSFA
APW,-13.8255,-171.993,Faleolo Airport,Apia,A`ana,Samoa,Pacific/Apia,Airports,8858,58,ZSAQ
AQG,30.5167,117.033,Anqing Airport,Anqing,Anhui,China,Asia/Shanghai,Airports,,,
AQI,28.3317,46.13,Hafr Al Batin Airport,Qaisumah,,Saudi Arabia,Asia/Riyadh,Airports,7054,1175,OJAQ
AQJ,29.6119,35.0178,Aqaba International Airport,Aqaba,Al `Aqabah,Jordan,Asia/Amman,Airports,9843,174,SPQU
AQP,-16.3372,-71.5692,Rodriguez Ballon Airport,Arequipa,Arequipa,Peru,America/Lima,Airports,9777,8365,PARC
ARC,68.1167,-145.583,Arctic Village Airport,Arctic Village,Alaska,United States,America/Anchorage,Airports,4450,2086,
ARD,35.1437,-93.1848,Alor Island,Alor Island,,Indonesia,Asia/Jakarta,Airports,2952,39,ULAA
ARH,64.4465,40.4242,Arkhangelsk Airport,Arkhangel'sk,Arkhangelrskaya Oblast,Russia,Europe/Moscow,Airports,,,SCAR
ARI,-18.3458,-70.3358,Chacalluta Airport,Arica,Tarapaca,Chile,America/Santiago,Airports,7119,180,HTAR
ARK,-3.36515,36.6738,Arusha Airport,Arusha,Arusha,Tanzania,Africa/Dar_es_Salaam,Airports,,,YARM
ARM,-30.5308,151.618,Armidale Airport,Armidale,New South Wales,Australia,Australia/Sydney,Airports,5702,3556,ESSA
ARN,59.6521,17.9317,Arlanda Airport,Märst,Stockholm,Sweden,Europe/Stockholm,Airports,10827,123,KART
ART,43.9942,-76.0232,Watertown International Airport,Dexter,New York,United States,America/New_York,Airports,5000,325,SBAU
ARU,-21.1436,-50.4261,Aracatuba Airport,Araçatuba,Sao Paulo,Brazil,America/Sao_Paulo,Airports,6955,1358,KARV
